Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-11-12	",428.27,6000,25.3,32.3,10,1713.08,18.52 ,10
"2020-11-13	",459.09,6283,25.4,2.4,4,1836.36,7.4,8
"2020-11-14	",839.78,11733,26.5,0,16,3359.12,29.632,14
"2020-11-15	",1457.5,21512,26.5,0,14,5830,25.928,29
"2020-11-16	",1382.95,18944,26.6,0,14,5531.8,25.928,22
"2020-11-17	",848.75,11191,27,0.2,13,3395,24.076,18
"2020-11-19	",815.93,10843,27.2,0.6,9,3263.72,16.668,11
"2020-11-20	",719.61,9934,26.1,4.3,10,2878.44,18.52 ,13
"2020-11-21	",960.89,12442,26.8,13.5,9,3843.56,16.668,11
"2020-11-22	",794.63,10443,26.7,0,8,3178.52,14.816,8
"2020-11-23	",327.81,17353,27.2,0,14,1311.24,25.928,9
"2020-11-24	",91.84,14273,26.9,0,13,367.36,24.076,13
"2020-11-25	",70.22,11037,26.2,14.3,13,280.88,24.076,11
"2020-11-26	",58.5,9415,26.1,1.3,19,234,35.188,8
"2020-11-27	",62.97,10332,25.9,3.7,13,251.88,24.076,11
"2020-11-28	",64.82,11019,25.8,8.5,12,259.28,22.224,10
"2020-11-29	",66.59,10914,26.3,50.7,19,266.36,35.188,11
"2020-11-30	",51.09,7959,25.8,3,16,204.36,29.632,7
"2020-12-01	",9.61,1845,24.3,89,10,38.44,18.52 ,7
"2020-12-02	",6.48,1232,23.7,296.9,19,25.92,35.188,5
"2020-12-03	",66.61,9536,24.9,6.5,14,266.44,25.928,9
"2020-12-04	",99.17,16786,25.9,0.9,16,396.68,29.632,11
"2020-12-05	",93.68,14116,25.8,0,21,374.72,38.892,18
"2020-12-06	",115.36,18546,26.1,0,14,461.44,25.928,15
"2020-12-07	",114.8,18104,26.2,0,11,459.2,20.37,15
"2020-12-08	",110.04,18265,26.1,0,13,440.16,24.076,19
"2020-12-09	",101.91,15042,26.3,0,15,407.64,27.78,22
"2020-12-10	",110.72,17675,25.7,0,14,442.88,25.928,28
"2020-12-11	",98.07,15894,25.2,0,11,392.28,20.37,39
"2020-12-12	",77.77,11997,26,0,12,311.08,22.224,35
"2020-12-13	",76.17,12318,26.6,0.7,6,304.68,11.11,21
